Species,Size,"Near-shore, May-93","Off-shore, May-93","Near-shore, Aug-93","Off-shore, Aug-93"
,um^3,animals/L,animals/L,animals/L,animals/L
Calanoid Nauplii,152273304,3,7,21,0
Cyclopoid Nauplii,2571353,287,0,271,21
Calanoid Copepedids,197137368,7,1,30,3
Cyclopoid Copepedids,157464000,62,1,27,6
Conochilus unicornuis ,84200,0,0,0,2
Kellicottia longispina ,89700,1,0,1,3
Brachionus angularis,73700,0,0,117,1
Anurairopsis navicula,97300,0,0,3,0
Keratella cochlearis,226000,158,3,181,0
Keratella cochlearis tecta,743000,49,0,127,32
Keratella quadrata,804000,86,13,429,8
Polyarthra dolichoptera,373000,21,0,79,67
Pompholyx complanata,110000,4,0,617,0
Tricocerca sp.,1070000,2,0,12,4
Daphnia retrocurva,452984832,61,0,0,0
Bosmina longirostris,39651821,8,2,0,11
Eubosmina coregoni,99897344,9,0,96,0
Halteria sp.,308,6000,2000,0,4000
Strombidium virdae,1256,47000,2000,11000,4000
Tintinnidium sp.,1973,38000,2000,19000,7000
Chromulina sp.,24,2815000,1135,1945000,493000
HNAN-1,34,299000,37000,452000,67000
HNAN-2,33,358000,55000,623000,80000
HNAN-3,339,401000,26000,34000,16000
Spurmella sp.,129,264000,424000,623000,184000
Monosiga sp.,56,6000,0,26000,27000
Asterionella formosa   ,566,153000,234000,0,1000
Fragilaria crotonesis,531,0,35000,0,42000
Gyrosigma sp.,7583,26000,0,1000,0
Melosira granulata,50,15131000,112,196000,1000
Navicula cryptocephla,1387,52000,0,9000,0
Nitzschia scalaris,2629,279000,46000,20000,0
Stephanodiscus sp.,601,1109000,2000,1000,5000
Synedra sp.,322,67000,3000,8000,79000
Tabellaria fenestrata,1540,0,26000,0,4000
Actinastrum hantzschii,981,205000,0,38000,0
Chlamydomonas sp.,302,2022000,15000,290000,448000
Coelastrum sphaerium,25566,46000,0,0,0
Pediastrum duplex,9007,34000,0,0,1000
Scenedesmus acuminatus,196,196000,0,9000,0
Scenedesmus bijuga,196,205000,0,0,8000
Scendesmus longispina,196,51000,0,7000,0
Scendesmus quadricauda,196,210000,0,0,0
Schroederia setigera,167,82000,0,2000,1000
Staurastrum gracil ,1485,0,0,1000,2000
Cryptomonas erosa,755,228000,22000,59000,150000
Chroomonas minuta,41,324000,11000,92000,336000
Dinobryon divergens,244,0,5000,0,58000
Dinobryon sertularia,244,0,0,0,58000
Chrysochromulina sp.,22,213000,344000,94000,554000
Anabaena spiroides,62,1320000,0,9772000,37000
Aphanizomenon flos-aquae,42,18433000,7683,22892,3000
Chroococcus turgidis,155,0,33000,12000,229
Oscillatoria rubescens,42,176567000,0,470133000,183000
Ceratium hirundinella,3825,0,0,1000,1000
